record_id,gender,study_year,bac_specialty,study_hours_per_week,preferred_study_place,preferred_study_time,learning_methods,study_resources,uses_planner,problem_1,2 second,3 third,4 fourth,5 fifth,6 sixth,7 seventh,8 eighth,other_problems,program_satisfaction,external_activities,motivation_level,ai_interest,feedback_influence,sleep_hours,stress_management,english_level,programming_level,computer_science_level,mathematics_level,how do others feedbacks influence you,year_ordinal,inferred_year_from_grades,y1_avg_s1,y1_avg_s2,y1_avg,1y foundational mathematics,1y dsa1,1y digital systems,1y information technology essentials,1y english 1,1y cpsct,1y oop,1y introduction to linux,1y linear algebra,1y mathematical analysis 1,1y introduction to statistics,1y english 2,1y intensive english,1y seminar,1y analysis i,1y algebra,1y a com i,1y intro prog c,1y analysis ii,1y a com ii,1y proba stat
81,0,2,1,2,3,0,39,33,0,3,6,2,1,0,5,7,3,8,2.0,1,4.0,4.0,1,1,2.0,7.0,7.0,6.0,5.0,3,2,1.0,13.0,13.0,13.0,0,0,0,2,2,2,0,0,2,2,2,0,0,0,0,0,2,0,0,0,0
82,1,2,2,0,3,0,15,10,1,3,2,7,1,0,6,3,5,8,2.0,0,1.0,2.0,2,2,1.0,3.0,4.0,2.0,3.0,3,2,1.0,13.0,13.0,13.0,2,0,4,2,4,4,2,1,1,2,2,4,0,0,0,0,2,0,0,0,0
83,1,3,0,0,3,0,53,8,1,2,4,5,6,1,3,7,0,4,3.0,0,3.0,3.0,0,2,2.0,7.0,6.0,6.0,7.0,3,3,2.0,13.0,13.0,13.0,2,0,4,2,4,4,2,1,1,2,2,4,0,0,0,0,2,0,0,0,0
84,0,1,0,0,3,0,18,34,1,2,0,1,4,3,5,6,7,21,2.0,1,4.0,4.0,2,1,4.0,9.0,7.0,9.0,8.0,2,4,3.0,13.0,13.0,13.0,2,0,4,2,4,4,2,1,1,2,2,4,0,0,0,0,2,0,0,0,0
85,0,3,1,2,0,0,38,30,0,2,4,6,1,0,5,7,3,4,2.0,0,2.0,4.0,0,1,5.0,8.0,7.0,6.0,7.0,3,3,2.0,13.0,13.0,13.0,2,0,4,2,4,4,2,1,1,2,2,4,0,0,0,0,2,0,0,0,0
86,0,1,0,0,3,1,13,22,1,5,2,1,0,3,5,4,4,21,2.0,0,3.0,4.0,2,1,2.0,9.0,7.0,7.0,6.0,2,4,3.0,13.0,14.0,13.0,2,0,4,2,4,4,2,1,1,2,2,4,0,0,0,0,2,0,0,0,0
87,0,2,1,2,2,0,8,4,1,2,4,6,1,5,0,3,7,8,3.0,0,4.0,5.0,2,1,3.0,7.0,7.0,8.0,9.0,1,2,1.0,14.0,12.0,13.0,2,0,4,2,4,0,0,1,2,2,2,4,0,0,1,0,0,2,2,2,2
88,0,2,0,3,2,0,6,29,1,3,2,1,1,6,3,0,7,8,2.0,1,3.0,3.0,2,1,2.0,9.0,3.0,4.0,7.0,1,2,1.0,14.0,12.0,13.0,2,0,4,2,4,0,2,1,2,2,2,4,2,0,0,0,0,2,0,2,0
89,1,2,1,1,3,0,17,31,0,2,4,1,6,0,5,3,7,3,3.0,1,4.0,4.0,1,1,3.0,9.0,7.0,8.0,5.0,3,2,1.0,14.0,12.0,13.0,0,2,0,3,3,0,2,0,2,2,2,0,2,0,0,0,0,2,0,2,0
90,1,2,0,1,3,0,45,31,0,2,6,5,4,1,0,7,3,8,3.0,0,4.0,4.0,0,2,3.0,7.0,7.0,7.0,7.0,3,2,1.0,14.0,12.0,13.0,0,0,0,0,0,0,2,0,2,2,2,0,2,0,0,0,0,2,0,2,0
91,1,2,0,0,2,0,23,16,0,0,2,6,4,3,1,5,7,8,1.0,0,2.0,2.0,2,1,4.0,7.0,7.0,5.0,7.0,3,2,1.0,14.0,12.0,13.0,0,2,1,0,3,1,1,2,1,4,0,3,2,0,0,0,0,2,0,2,0
92,1,2,1,0,3,0,11,4,1,5,6,6,1,6,6,4,2,8,1.0,1,1.0,3.0,2,1,5.0,9.0,9.0,9.0,8.0,3,2,1.0,14.0,13.0,13.0,0,2,1,0,3,0,0,2,0,4,0,3,0,0,1,0,2,0,0,0,2
93,0,2,0,1,0,0,39,34,1,2,4,5,1,0,6,7,3,26,3.0,1,4.0,5.0,0,2,1.0,9.0,5.0,6.0,7.0,3,2,2.0,14.0,13.0,13.0,1,2,2,2,3,0,0,2,1,2,2,3,0,0,1,0,2,0,0,0,2
94,0,2,1,1,2,0,31,2,0,2,1,5,1,6,0,7,3,8,3.0,0,3.0,3.0,2,1,4.0,7.0,5.0,6.0,6.0,0,2,1.0,14.0,13.0,13.0,1,2,2,2,3,0,0,2,2,2,2,3,2,0,0,1,3,2,0,2,2
95,0,2,1,0,0,1,0,4,0,5,2,1,1,0,5,3,7,8,2.0,0,3.0,5.0,2,2,3.0,6.0,5.0,5.0,6.0,3,2,1.0,14.0,13.0,13.0,1,2,2,2,3,0,0,2,2,2,2,3,0,0,1,0,0,0,2,0,2
96,0,3,1,1,0,1,14,10,0,2,1,6,4,5,0,7,3,4,2.0,0,3.0,4.0,0,1,3.0,7.0,6.0,6.0,6.0,3,3,2.0,14.0,13.0,13.0,0,2,2,2,0,0,0,2,2,0,2,3,0,0,1,0,0,0,2,0,2
97,1,2,0,1,3,0,51,5,1,4,1,6,1,4,0,7,3,8,2.0,0,2.0,3.0,2,2,4.0,8.0,6.0,5.0,8.0,3,2,1.0,14.0,13.0,13.0,0,2,2,2,0,0,0,2,2,0,2,3,0,0,1,0,2,0,0,0,2
98,0,2,0,1,0,1,16,22,1,5,1,2,0,4,7,5,3,8,1.0,0,3.0,3.0,1,1,2.0,7.0,7.0,6.0,6.0,3,2,1.0,14.0,13.0,13.0,0,2,0,0,0,0,0,0,2,0,2,0,0,0,1,0,2,0,0,0,2
99,1,2,1,0,2,1,8,37,0,1,7,6,1,0,2,5,3,8,3.0,1,3.0,5.0,2,2,5.0,6.0,7.0,8.0,6.0,3,2,1.0,14.0,13.0,13.0,0,2,0,0,0,0,0,0,2,0,2,0,2,0,1,0,0,0,2,0,0
100,0,3,1,0,0,0,21,13,0,2,4,6,5,1,3,0,7,14,3.0,1,4.0,5.0,1,1,4.0,7.0,8.0,7.0,7.0,3,3,2.0,14.0,13.0,13.0,0,2,0,0,0,0,0,0,2,3,2,0,2,0,1,0,0,0,2,0,0
101,0,2,1,1,0,0,47,18,0,2,4,1,5,6,0,3,7,28,2.0,1,4.0,3.0,2,2,5.0,7.0,8.0,8.0,6.0,3,2,1.0,14.0,13.0,13.0,0,2,0,0,0,0,0,0,2,0,2,0,2,0,1,0,0,0,2,0,0
102,0,2,0,1,1,1,0,36,1,3,1,6,2,7,5,0,3,8,2.0,0,3.0,3.0,0,1,2.0,5.0,6.0,6.0,6.0,3,2,1.0,14.0,13.0,13.0,2,2,0,2,0,0,2,2,2,2,2,2,2,0,1,0,0,0,2,0,0
103,0,3,0,0,0,0,37,34,0,1,0,6,4,4,7,2,5,4,2.0,1,2.0,2.0,2,2,4.0,7.0,7.0,7.0,9.0,3,3,3.0,14.0,13.0,13.0,2,2,0,2,0,0,2,2,2,0,0,0,2,0,1,0,0,0,2,0,0
104,1,2,0,1,3,0,51,26,1,5,1,4,1,2,0,7,3,8,2.0,1,3.0,3.0,2,1,3.0,6.0,6.0,6.0,8.0,0,2,1.0,14.0,13.0,13.0,2,2,0,2,0,2,0,2,2,0,0,0,0,0,1,0,2,0,2,0,2
105,0,3,2,1,2,2,19,34,1,2,4,6,1,0,5,3,7,4,3.0,1,3.0,5.0,1,1,4.0,8.0,7.0,8.0,7.0,3,3,2.0,14.0,13.0,13.0,2,0,0,2,0,3,0,2,2,0,2,0,0,0,1,0,2,0,2,0,2
106,0,2,0,1,2,2,47,22,1,3,6,2,0,5,7,5,3,2,2.0,1,3.0,2.0,0,2,2.0,7.0,7.0,7.0,8.0,3,2,1.0,14.0,13.0,13.0,0,0,2,0,0,3,0,0,2,3,2,0,0,0,1,0,2,0,2,0,2
107,0,3,1,1,0,1,21,22,1,2,4,1,6,0,5,6,3,4,3.0,0,3.0,5.0,1,1,3.0,8.0,8.0,8.0,8.0,3,3,2.0,14.0,13.0,13.0,0,0,2,0,0,3,0,0,2,3,2,0,0,0,1,0,2,0,2,0,2
108,0,2,0,0,0,0,54,18,0,2,4,1,1,0,3,7,5,8,2.0,0,4.0,4.0,2,1,2.0,7.0,6.0,6.0,5.0,0,2,1.0,15.0,11.0,13.0,0,0,2,0,0,0,2,0,1,3,2,0,2,0,1,0,0,2,0,2,0
109,1,2,0,0,3,0,54,36,0,2,1,4,1,6,0,3,7,8,4.0,0,4.0,5.0,2,1,2.0,7.0,5.0,3.0,5.0,1,2,1.0,15.0,12.0,13.0,0,0,2,0,0,0,0,0,0,3,2,0,2,0,0,0,0,0,1,0,2
110,0,2,0,1,2,1,11,4,1,5,2,1,1,3,0,5,7,8,2.0,1,4.0,4.0,2,1,2.0,9.0,5.0,5.0,7.0,3,2,1.0,15.0,12.0,13.0,0,0,2,0,0,0,0,0,2,3,2,0,2,0,0,1,3,2,2,2,2
111,1,2,0,1,3,0,0,7,1,2,4,6,1,7,0,3,5,8,3.0,1,3.0,4.0,2,1,2.0,8.0,6.0,6.0,5.0,1,2,1.0,15.0,12.0,13.0,0,0,2,0,0,0,0,0,2,3,2,0,2,0,1,0,0,0,0,2,2
112,0,2,1,1,2,1,5,36,1,2,4,5,1,0,1,3,7,8,2.0,0,3.0,4.0,2,1,3.0,8.0,6.0,7.0,8.0,0,2,1.0,15.0,12.0,13.0,0,0,2,0,0,0,2,0,2,3,2,0,2,0,1,0,3,2,0,2,2
113,1,2,1,1,3,0,5,4,1,4,6,1,1,3,4,0,7,8,2.0,1,5.0,4.0,2,1,4.0,6.0,5.0,7.0,7.0,0,2,1.0,15.0,12.0,13.0,0,0,2,0,0,3,0,0,2,3,2,0,2,0,1,0,0,0,0,0,1
114,0,2,1,5,3,2,0,29,1,1,2,6,1,5,0,7,3,8,2.0,0,3.0,4.0,2,1,3.0,8.0,7.0,3.0,8.0,3,2,1.0,15.0,12.0,13.0,0,0,2,0,0,3,0,0,2,3,2,0,2,0,1,1,0,0,0,0,2
115,1,2,0,1,2,1,28,2,0,4,6,4,1,1,0,7,3,8,1.0,0,4.0,5.0,2,2,2.0,8.0,7.0,8.0,3.0,0,2,1.0,15.0,13.0,13.0,0,0,2,0,0,0,0,0,2,3,2,0,0,0,1,0,2,0,0,0,2
116,1,2,1,0,3,0,53,36,0,1,6,2,4,5,3,0,7,8,2.0,0,5.0,4.0,2,2,3.0,6.0,5.0,4.0,4.0,3,2,1.0,16.0,10.0,13.0,0,0,3,0,0,0,2,2,2,2,2,2,0,0,1,0,2,0,0,0,2
117,0,2,1,1,0,0,52,39,1,3,2,6,1,0,7,5,3,8,2.0,1,4.0,2.0,1,2,2.0,5.0,5.0,5.0,4.0,3,2,1.0,16.0,10.0,13.0,0,0,2,2,3,0,2,3,0,1,2,0,0,0,1,0,2,0,0,0,2
118,1,2,0,0,0,0,5,6,0,2,0,6,1,1,5,4,3,8,3.0,1,4.0,4.0,2,1,4.0,8.0,8.0,7.0,7.0,1,2,1.0,13.0,14.0,14.0,0,0,2,2,3,0,0,3,2,1,2,0,0,0,0,0,2,0,2,2,0
119,1,3,0,0,0,0,22,31,0,2,1,6,3,4,0,5,7,4,2.0,1,3.0,4.0,2,1,3.0,8.0,8.0,7.0,7.0,3,3,2.0,13.0,14.0,14.0,0,0,2,2,3,0,0,3,2,1,2,0,0,0,0,0,2,0,2,2,0
120,0,2,1,3,2,0,38,13,1,5,4,2,1,5,1,0,3,8,3.0,1,3.0,4.0,2,1,2.0,7.0,4.0,3.0,5.0,3,2,1.0,13.0,15.0,14.0,2,2,2,3,3,2,0,3,2,0,3,3,0,0,0,0,2,0,2,2,0
121,0,2,0,0,3,0,45,31,0,5,1,6,0,5,3,4,7,8,4.0,1,4.0,4.0,2,2,5.0,7.0,9.0,8.0,9.0,3,2,1.0,13.0,15.0,14.0,4,3,3,3,1,4,0,3,0,3,0,4,0,0,0,0,2,0,2,2,0
122,0,1,0,1,3,0,42,10,1,0,4,1,2,3,6,5,7,21,4.0,1,2.0,5.0,1,1,3.0,8.0,9.0,9.0,9.0,2,4,3.0,13.0,15.0,14.0,4,3,3,3,1,4,0,3,0,3,0,4,0,0,0,0,2,0,2,2,0
123,1,2,0,2,2,0,16,31,1,3,2,6,1,5,7,0,3,15,3.0,1,3.0,4.0,1,1,2.0,8.0,7.0,7.0,6.0,3,2,1.0,14.0,13.0,14.0,0,0,0,2,0,2,0,0,2,2,2,2,0,0,0,0,2,0,2,2,0
124,1,2,0,0,3,0,46,10,0,5,5,2,4,4,3,2,0,8,2.0,0,3.0,4.0,2,1,3.0,8.0,6.0,6.0,5.0,3,2,1.0,14.0,13.0,14.0,0,0,0,2,0,2,0,0,2,2,2,2,0,0,0,0,2,0,2,2,0
125,1,2,1,0,3,0,17,12,1,0,6,2,4,3,7,1,5,8,1.0,1,5.0,5.0,1,2,4.0,8.0,9.0,9.0,7.0,3,2,1.0,14.0,13.0,14.0,0,0,0,2,0,2,0,0,2,2,2,2,0,0,0,0,2,0,2,2,0
126,1,2,1,3,3,1,40,31,0,2,6,5,4,1,3,7,0,8,3.0,1,3.0,4.0,2,1,4.0,7.0,7.0,7.0,8.0,3,2,1.0,14.0,14.0,14.0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,0
127,1,2,0,3,0,0,38,31,0,4,1,6,7,4,0,2,3,8,2.0,0,3.0,4.0,0,1,3.0,7.0,8.0,7.0,7.0,3,2,1.0,14.0,14.0,14.0,0,2,0,3,0,0,0,0,0,2,0,0,0,0,0,0,2,0,2,2,0
128,0,3,1,3,3,0,45,31,0,3,2,0,5,6,1,7,3,4,3.0,1,5.0,5.0,1,1,4.0,8.0,9.0,8.0,7.0,3,3,2.0,14.0,14.0,14.0,0,2,0,3,3,0,2,0,1,2,0,0,0,0,0,0,2,0,2,2,0
129,1,2,0,1,3,0,24,26,0,5,1,4,1,7,2,5,3,8,1.0,0,2.0,5.0,2,1,1.0,7.0,7.0,7.0,7.0,3,2,1.0,14.0,14.0,14.0,0,2,0,3,3,0,0,0,2,2,0,0,2,0,0,0,2,0,2,0,0
130,1,2,2,1,3,0,40,30,1,2,4,0,3,6,1,5,7,8,3.0,0,4.0,4.0,1,1,4.0,5.0,7.0,7.0,6.0,3,2,1.0,14.0,14.0,14.0,2,0,0,3,2,2,2,0,0,0,0,2,2,0,0,0,2,0,2,0,0
131,1,3,1,0,0,1,20,36,0,6,1,6,2,4,5,0,3,4,4.0,1,3.0,3.0,1,2,5.0,7.0,7.0,7.0,7.0,3,3,2.0,14.0,14.0,14.0,2,0,0,3,0,2,2,0,1,2,2,0,2,0,0,0,2,0,2,0,0
132,1,2,0,2,2,0,6,29,1,3,1,6,1,7,0,2,3,8,2.0,1,4.0,4.0,2,2,2.0,7.0,7.0,7.0,8.0,1,2,1.0,14.0,14.0,14.0,2,0,0,3,0,2,0,0,2,2,2,0,2,0,0,0,0,0,2,2,0
133,0,2,0,1,2,0,40,14,1,3,2,0,6,5,1,7,3,16,3.0,1,5.0,4.0,1,1,2.0,9.0,7.0,7.0,5.0,3,2,1.0,14.0,14.0,14.0,0,0,2,3,0,2,0,0,2,2,2,2,2,0,0,0,0,0,2,2,0
134,1,2,0,0,3,1,54,31,0,4,5,5,5,5,5,5,5,10,3.0,1,4.0,4.0,2,2,5.0,8.0,9.0,10.0,7.0,3,2,1.0,14.0,14.0,14.0,0,0,0,3,0,2,0,3,2,0,3,0,2,0,0,0,0,0,2,2,0
135,0,2,1,5,3,0,11,26,0,2,0,6,1,1,5,7,3,8,3.0,1,4.0,5.0,2,1,4.0,9.0,8.0,7.0,7.0,1,2,1.0,14.0,14.0,14.0,0,0,0,3,0,3,0,3,2,0,3,0,2,0,0,0,0,0,2,2,0
136,1,3,1,0,3,1,46,40,0,2,4,0,6,3,0,5,7,19,4.0,1,5.0,5.0,1,1,5.0,8.0,8.0,8.0,8.0,3,3,2.0,14.0,14.0,14.0,2,3,0,3,0,3,0,3,2,0,3,0,2,0,0,0,0,0,2,2,0
137,0,1,2,4,3,0,40,8,1,5,2,0,4,1,5,3,7,21,2.0,0,3.0,4.0,2,1,3.0,7.0,6.0,7.0,9.0,2,4,3.0,14.0,14.0,14.0,2,3,0,3,0,3,0,3,2,0,3,0,2,0,0,0,0,0,2,2,0
138,1,1,0,1,3,0,17,0,0,4,6,2,1,4,2,3,7,21,3.0,1,3.0,4.0,2,1,2.0,9.0,8.0,7.0,7.0,2,4,3.0,14.0,14.0,14.0,2,3,0,3,0,3,0,3,2,0,3,0,2,0,0,0,0,0,2,2,0
139,1,1,0,0,2,1,56,11,0,3,2,6,1,3,5,0,7,21,2.0,1,4.0,4.0,2,2,2.0,9.0,9.0,9.0,7.0,2,4,2.0,14.0,14.0,14.0,2,3,0,3,0,3,0,3,2,0,3,0,2,0,0,0,0,0,2,2,0
140,0,2,0,0,2,0,54,34,0,5,2,1,4,5,3,7,0,8,3.0,0,3.0,4.0,2,1,2.0,7.0,6.0,6.0,6.0,3,2,1.0,15.0,13.0,14.0,2,2,0,0,0,0,0,0,1,0,0,2,2,0,0,0,0,0,2,2,0
141,1,2,1,2,2,0,1,19,0,3,2,0,1,1,6,3,7,8,2.0,1,3.0,4.0,2,1,3.0,9.0,8.0,8.0,6.0,1,2,1.0,15.0,13.0,14.0,2,2,0,0,0,0,0,0,2,0,0,2,2,0,1,0,0,0,0,0,0
142,1,2,0,0,2,0,40,30,0,5,2,0,1,4,7,3,5,12,2.0,0,3.0,5.0,1,1,4.0,9.0,8.0,9.0,8.0,3,2,1.0,15.0,13.0,14.0,0,0,0,0,3,0,0,0,2,2,0,0,2,0,1,0,0,0,0,0,0
143,1,3,0,0,3,0,18,16,0,2,6,1,0,1,5,3,7,31,3.0,0,5.0,5.0,2,2,5.0,4.0,8.0,8.0,9.0,3,3,2.0,15.0,13.0,14.0,0,2,2,2,0,0,0,2,2,3,0,0,2,0,1,0,0,0,0,0,0
144,0,2,1,1,3,0,7,4,1,3,2,6,1,5,7,1,3,8,3.0,1,4.0,5.0,2,1,3.0,9.0,9.0,9.0,7.0,3,2,1.0,15.0,13.0,14.0,0,2,2,2,0,0,0,2,2,3,0,0,2,0,1,0,0,0,0,2,2
145,1,2,0,0,3,0,37,17,0,2,4,1,6,0,3,7,5,8,4.0,1,4.0,4.0,2,2,1.0,6.0,5.0,5.0,5.0,3,2,1.0,15.0,13.0,14.0,2,0,0,0,2,2,0,0,2,2,0,2,2,0,1,0,0,0,0,2,2
146,0,2,0,2,0,0,35,7,0,3,2,6,1,5,2,2,4,8,3.0,1,5.0,5.0,2,1,3.0,7.0,8.0,8.0,8.0,1,2,1.0,15.0,13.0,14.0,2,0,0,0,2,3,0,0,2,2,0,2,0,0,1,0,0,0,0,0,0
147,1,2,0,1,0,0,15,10,1,3,2,6,0,1,3,3,7,8,3.0,0,4.0,5.0,1,1,3.0,8.0,7.0,7.0,9.0,3,2,1.0,15.0,14.0,14.0,3,0,2,0,3,0,0,0,2,0,3,0,0,0,1,0,0,0,0,0,0
148,0,2,2,1,0,0,16,36,0,3,2,6,1,5,0,7,3,8,1.0,0,5.0,2.0,2,1,2.0,5.0,5.0,4.0,3.0,3,2,1.0,15.0,14.0,14.0,2,2,0,0,0,0,2,0,2,2,2,0,0,0,1,0,0,0,0,0,0
149,1,3,0,1,3,0,47,31,0,5,2,1,4,0,7,5,3,4,3.0,1,3.0,4.0,2,2,3.0,7.0,7.0,7.0,8.0,3,3,2.0,15.0,14.0,14.0,0,2,0,0,0,2,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0
150,1,2,1,0,3,0,27,36,0,3,2,1,1,6,7,3,5,8,3.0,1,4.0,4.0,2,1,3.0,6.0,8.0,5.0,4.0,3,2,1.0,15.0,14.0,14.0,0,2,0,0,0,3,0,0,0,0,0,0,2,0,1,0,0,0,2,2,0
151,1,2,0,2,2,1,25,26,0,3,2,1,1,7,0,5,3,8,2.0,1,4.0,4.0,2,1,4.0,7.0,9.0,7.0,8.0,0,2,1.0,15.0,14.0,14.0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,3,0,2,0
152,0,2,1,5,3,0,33,26,1,2,4,7,1,6,5,0,3,8,2.0,0,3.0,3.0,2,1,4.0,4.0,4.0,6.0,5.0,0,2,1.0,15.0,14.0,14.0,0,2,0,0,0,3,0,0,2,0,0,0,0,0,1,0,0,0,2,2,0
153,0,2,0,1,3,0,37,31,0,3,2,6,0,1,5,7,5,8,3.0,1,4.0,4.0,2,1,3.0,9.0,7.0,6.0,7.0,3,2,1.0,15.0,14.0,14.0,0,2,0,0,0,3,0,0,2,0,0,0,0,0,1,0,0,0,2,2,0
154,1,2,1,0,0,0,10,19,0,3,1,2,1,0,6,3,7,8,2.0,0,2.0,3.0,2,1,3.0,7.0,4.0,4.0,8.0,1,2,1.0,16.0,13.0,14.0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,1,2,2,0,2,0,2
155,0,2,1,1,3,0,34,4,0,3,2,0,1,6,1,3,7,8,4.0,1,4.0,5.0,2,1,3.0,7.0,6.0,6.0,6.0,1,2,1.0,16.0,13.0,14.0,0,2,0,0,0,3,2,0,2,0,0,0,0,2,1,2,0,0,2,2,2
156,1,2,1,1,3,0,47,14,0,3,7,3,1,2,6,0,5,8,4.0,1,4.0,4.0,1,1,5.0,6.0,9.0,8.0,9.0,3,2,1.0,14.0,16.0,15.0,2,0,2,2,1,1,0,2,0,0,0,2,0,2,1,2,0,0,2,2,2
157,0,2,2,5,2,1,24,36,0,1,4,6,1,7,0,3,5,8,2.0,0,2.0,2.0,2,0,1.0,6.0,7.0,3.0,9.0,3,2,1.0,15.0,14.0,15.0,2,0,2,2,1,0,0,2,0,0,0,2,0,0,1,0,0,0,2,0,0
158,1,2,0,1,3,0,37,16,0,2,4,6,5,1,3,0,7,8,2.0,1,4.0,4.0,2,0,5.0,7.0,9.0,8.0,7.0,3,2,1.0,15.0,14.0,15.0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,2,0,0
159,1,2,0,0,0,0,7,4,0,4,2,6,1,1,0,3,7,8,2.0,1,4.0,3.0,2,2,3.0,7.0,7.0,7.0,7.0,3,2,1.0,15.0,14.0,15.0,0,3,0,0,0,0,0,3,2,0,0,0,0,0,1,2,0,0,2,2,0
160,1,3,1,0,3,1,41,21,0,3,2,6,0,6,6,6,0,4,3.0,1,4.0,4.0,2,1,5.0,8.0,8.0,8.0,7.0,3,3,2.0,15.0,15.0,15.0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,1,2,0,0,2,2,0
161,1,2,2,2,3,0,16,31,0,3,2,2,1,0,6,6,6,8,3.0,1,4.0,5.0,2,1,4.0,7.0,8.0,8.0,8.0,3,2,1.0,15.0,15.0,15.0,0,2,3,2,0,0,0,0,0,3,2,0,0,0,1,2,0,0,2,2,0
162,1,3,0,0,3,1,41,20,0,5,4,2,1,4,0,5,6,11,3.0,1,4.0,4.0,0,1,4.0,6.0,8.0,8.0,9.0,3,3,2.0,15.0,15.0,15.0,3,3,3,2,0,0,0,0,0,3,2,0,0,0,1,2,0,0,2,2,0
163,1,2,0,1,2,0,55,36,0,5,0,2,1,4,3,5,7,8,2.0,0,3.0,3.0,2,1,1.0,2.0,6.0,4.0,5.0,3,2,1.0,15.0,15.0,15.0,3,3,3,2,0,0,3,0,0,3,2,0,2,0,1,0,0,0,2,2,0
164,0,2,0,0,2,1,44,39,0,5,2,0,4,1,3,5,7,8,3.0,1,4.0,4.0,2,2,2.0,3.0,5.0,5.0,7.0,3,2,1.0,15.0,15.0,15.0,2,0,3,2,2,0,0,0,2,2,2,2,2,0,1,0,0,0,2,2,0
165,0,2,1,0,3,0,53,31,0,2,4,0,6,3,1,7,5,8,3.0,0,4.0,4.0,0,2,4.0,9.0,7.0,7.0,6.0,3,2,1.0,15.0,15.0,15.0,0,0,0,3,3,0,0,3,2,0,0,0,2,0,1,0,0,0,2,2,0
166,1,2,2,4,2,0,22,14,0,2,4,6,1,0,3,7,5,8,3.0,1,4.0,5.0,1,1,3.0,9.0,9.0,8.0,7.0,3,2,1.0,15.0,15.0,15.0,0,0,3,0,0,0,0,0,2,0,0,0,2,0,1,0,0,0,2,2,0
167,1,2,1,0,3,1,37,36,1,3,4,2,4,4,4,4,4,32,3.0,0,3.0,3.0,2,1,5.0,7.0,6.0,6.0,7.0,3,2,2.0,15.0,15.0,15.0,2,2,2,2,2,0,2,2,2,2,2,3,2,0,1,0,0,0,2,2,0
168,0,2,0,3,2,0,49,13,0,2,6,0,4,3,1,5,7,17,2.0,1,4.0,5.0,2,1,3.0,8.0,9.0,8.0,9.0,3,2,1.0,15.0,15.0,15.0,0,0,2,3,2,2,0,0,0,2,3,2,2,0,1,0,0,0,2,2,0
169,1,2,1,1,3,0,38,10,1,3,2,5,7,6,0,3,1,8,3.0,1,5.0,5.0,2,2,3.0,6.0,8.0,9.0,9.0,3,2,1.0,15.0,15.0,15.0,0,2,0,0,2,2,2,0,0,0,1,2,2,0,1,0,0,0,2,2,0
170,0,2,1,2,3,0,33,2,1,1,4,5,1,2,6,0,3,8,4.0,1,5.0,5.0,2,1,3.0,7.0,6.0,6.0,6.0,1,2,1.0,15.0,15.0,15.0,0,2,0,0,2,3,3,0,2,0,1,2,2,0,0,0,0,0,2,2,2
171,0,3,1,3,2,2,43,23,0,2,4,0,6,1,3,5,3,4,2.0,0,3.0,3.0,0,1,2.0,7.0,5.0,5.0,4.0,3,3,2.0,16.0,14.0,15.0,0,2,0,0,3,0,2,0,2,3,2,2,2,0,0,0,0,0,2,2,2
172,0,2,1,3,3,2,27,4,0,3,2,1,1,0,7,3,5,8,3.0,0,3.0,3.0,2,1,2.0,8.0,7.0,5.0,6.0,0,2,1.0,16.0,14.0,15.0,0,2,0,0,3,3,0,0,0,3,2,2,2,2,1,0,0,0,2,0,0
173,0,3,1,1,2,0,45,38,0,4,0,1,4,2,6,3,7,4,3.0,1,5.0,5.0,2,2,1.0,7.0,7.0,6.0,5.0,3,3,2.0,16.0,14.0,15.0,0,0,2,0,3,3,0,0,2,3,2,3,2,2,1,0,0,0,2,0,0
174,0,2,0,0,3,0,11,36,1,4,4,0,1,1,6,7,3,8,1.0,0,1.0,1.0,2,2,3.0,8.0,8.0,5.0,6.0,1,2,1.0,16.0,15.0,15.0,0,0,2,0,3,0,3,0,2,3,2,3,2,2,1,0,3,3,2,2,0
175,0,1,0,0,3,0,45,13,1,4,0,8,2,1,1,6,7,30,3.0,1,4.0,5.0,1,2,3.0,9.0,8.0,8.0,8.0,2,4,3.0,16.0,15.0,15.0,3,0,0,0,0,3,3,0,3,3,3,0,2,2,1,0,3,3,2,2,0
176,1,3,1,1,3,0,57,0,0,2,4,0,1,7,6,3,5,9,3.0,1,3.0,4.0,1,1,4.0,8.0,7.0,5.0,8.0,3,3,2.0,17.0,14.0,15.0,0,0,0,0,3,0,0,0,0,0,2,3,2,2,1,0,3,3,2,2,0
177,1,1,2,1,2,0,41,9,0,2,4,6,0,1,5,7,3,21,4.0,1,5.0,5.0,1,2,4.0,9.0,9.0,7.0,6.0,2,4,3.0,14.0,17.0,16.0,0,0,0,0,3,0,0,0,0,0,2,3,2,2,1,0,3,3,2,2,0
178,1,3,0,0,0,0,0,8,0,2,6,5,4,1,3,7,0,4,3.0,1,4.0,3.0,2,2,4.0,8.0,8.0,8.0,9.0,3,3,2.0,16.0,15.0,16.0,3,3,0,0,3,0,3,0,2,3,0,3,2,2,1,0,3,3,2,2,0
