record_id,gender,study_year,bac_specialty,study_hours_per_week,preferred_study_place,preferred_study_time,learning_methods,study_resources,uses_planner,problem_1,2 second,3 third,4 fourth,5 fifth,6 sixth,7 seventh,8 eighth,other_problems,program_satisfaction,external_activities,motivation_level,ai_interest,feedback_influence,sleep_hours,stress_management,english_level,programming_level,computer_science_level,mathematics_level,how do others feedbacks influence you,year_ordinal,inferred_year_from_grades,y1_avg_s1,y1_avg_s2,y1_avg,1y foundational mathematics,1y dsa1,1y digital systems,1y information technology essentials,1y english 1,1y cpsct,1y oop,1y introduction to linux,1y linear algebra,1y mathematical analysis 1,1y introduction to statistics,1y english 2,1y intensive english,1y seminar,1y analysis i,1y algebra,1y a com i,1y intro prog c,1y analysis ii,1y a com ii,1y proba stat
37,0,2,0,2,2,0,2,4,0,3,6,2,1,5,1,7,3,8,2.0,1,4.0,2.0,2,1,4.0,8.0,5.0,5.0,8.0,3,2,1.0,13.0,10.0,11.0,2,2,2,2,2,0,2,2,2,2,2,2,0,0,0,0,2,2,0,0,2
38,0,2,1,1,3,0,9,26,1,5,2,1,1,4,0,7,5,8,3.0,0,5.0,5.0,2,1,5.0,9.0,6.0,6.0,8.0,3,2,1.0,13.0,10.0,11.0,2,2,2,2,2,0,2,2,2,2,2,2,2,0,0,1,0,2,1,2,2
39,0,2,1,0,0,0,2,7,0,3,2,6,1,5,0,7,3,8,2.0,0,3.0,5.0,2,2,2.0,8.0,6.0,6.0,5.0,3,2,1.0,13.0,10.0,11.0,2,2,2,2,2,0,2,2,2,2,2,2,2,0,0,1,0,2,1,0,2
40,0,2,1,2,0,0,6,4,1,2,6,4,1,5,0,7,3,8,2.0,0,2.0,3.0,2,1,3.0,6.0,6.0,6.0,4.0,3,2,1.0,12.0,11.0,12.0,2,2,2,2,2,0,0,2,1,2,2,2,0,0,0,1,0,0,0,2,2
41,1,2,0,1,2,0,20,34,0,2,1,4,6,0,3,7,5,8,2.0,1,3.0,3.0,0,1,3.0,8.0,6.0,4.0,4.0,3,2,1.0,12.0,11.0,12.0,2,2,2,2,3,0,0,0,2,1,2,3,0,0,0,1,0,0,0,2,2
42,0,2,0,0,3,0,24,25,1,2,0,4,1,6,5,3,7,8,2.0,0,2.0,5.0,2,1,1.0,7.0,5.0,6.0,8.0,1,2,1.0,12.0,11.0,12.0,2,2,2,2,3,2,0,0,2,1,2,3,0,0,0,1,0,2,0,0,2
43,0,2,0,0,2,1,16,22,0,1,4,6,2,0,5,3,7,8,3.0,0,5.0,5.0,1,1,4.0,6.0,6.0,7.0,7.0,3,2,1.0,12.0,12.0,12.0,0,0,2,2,0,0,2,0,2,2,2,2,0,0,0,1,0,2,0,0,2
44,1,2,2,2,3,0,16,16,0,5,2,8,5,0,1,7,3,8,2.0,0,5.0,5.0,1,1,2.0,7.0,7.0,8.0,5.0,3,2,1.0,12.0,12.0,12.0,2,2,0,0,0,2,0,0,2,2,2,0,0,0,0,1,0,2,0,0,2
45,0,1,2,0,3,0,39,13,1,3,1,6,3,2,5,7,0,29,2.0,1,2.0,3.0,2,1,1.0,7.0,2.0,5.0,2.0,2,4,3.0,12.0,12.0,12.0,2,2,1,2,0,2,1,1,2,2,2,0,0,0,0,1,0,2,0,0,2
46,0,2,1,1,3,0,39,34,0,3,1,2,5,6,7,0,3,18,2.0,1,1.0,1.0,2,2,1.0,9.0,5.0,6.0,7.0,3,2,1.0,12.0,12.0,12.0,2,1,0,3,2,4,0,3,3,0,0,2,0,0,0,1,0,2,0,0,2
47,0,2,1,1,2,0,39,30,1,4,4,1,2,6,0,7,3,7,3.0,0,4.0,5.0,2,1,1.0,7.0,6.0,6.0,6.0,3,2,1.0,12.0,13.0,12.0,2,2,2,2,0,0,0,0,2,2,2,0,0,0,0,1,0,2,0,0,2
48,1,3,0,0,2,0,39,32,0,3,7,2,1,6,5,0,3,4,2.0,1,3.0,3.0,2,1,3.0,6.0,7.0,7.0,8.0,3,3,2.0,12.0,13.0,12.0,2,0,2,2,2,2,2,0,2,2,2,0,0,0,0,1,0,2,0,0,2
