record_id,gender,study_year,bac_specialty,study_hours_per_week,preferred_study_place,preferred_study_time,learning_methods,study_resources,uses_planner,problem_1,problem_2,problem_3,problem_4,problem_5,problem_6,problem_7,problem_8,other_problems,program_satisfaction,external_activities,motivation_level,ai_interest,feedback_influence,sleep_hours,stress_management,english_level,programming_level,computer_science_level,mathematics_level,4 forth,how do others feedbacks influence you,year_ordinal,inferred_year_from_grades,y2_avg_s1,y2_avg_s2,y2_avg,2y dsa 2,2y logic,2y mathematical analysis 2,2y databases,2y probability,2y web development,2y introduction to business,2y theory of computing,2y operating systems,2y computer architecture,2y statistical inference,2y introduction to ai,2y mathematical analysis 3,2y electronic circuits labs,2y analysis iii,2y dsa,2y archi 1,2y complexity,2y proba stat ii,2y lin alg ii,2y intro ai,2y oper res,2y archi ii,2y oper syst,2y soft eng,2y web prog,2y intro busin
86,0,0,0,0,2,1,8,20,1,6,2,1,0,3,5,4,4,8,2.0,0,3.0,4.0,2,0,2.0,9.0,7.0,7.0,6.0,8,2,4,3.0,1,12.0,11.0,1,2,0,0,2,0,0,0,0,2,2,2,0,2,0,0,1,1,1,2,1,1,2,2,1,2,0
93,0,1,0,1,0,0,34,29,1,2,4,5,1,0,6,7,3,9,3.0,1,4.0,5.0,0,1,1.0,9.0,5.0,6.0,7.0,1,3,2,2.0,8,9.0,9.0,1,2,0,0,2,0,0,0,0,2,2,2,0,2,0,0,1,1,1,2,1,1,2,2,1,2,0
96,0,2,1,1,0,1,9,10,0,2,1,6,4,5,0,7,3,1,2.0,0,3.0,4.0,0,0,3.0,7.0,6.0,6.0,6.0,0,3,3,2.0,3,12.0,12.0,0,0,0,1,1,0,2,0,2,2,1,2,0,2,0,0,1,1,1,2,1,1,2,2,1,2,0
100,0,2,1,0,0,0,15,13,0,2,4,6,5,1,3,0,7,6,3.0,1,4.0,5.0,1,0,4.0,7.0,8.0,7.0,7.0,0,3,3,2.0,3,12.0,12.0,0,2,2,0,1,0,2,1,2,0,2,2,2,2,0,0,1,1,1,2,1,1,2,2,1,2,0
103,0,2,0,0,0,0,32,29,0,1,0,6,4,4,7,2,5,1,2.0,1,2.0,2.0,2,1,4.0,7.0,7.0,7.0,9.0,0,3,3,3.0,2,11.0,11.0,1,0,0,0,2,0,0,1,2,0,2,2,0,0,0,0,1,1,1,2,1,1,2,2,1,2,0
105,0,2,2,1,1,2,13,29,1,2,4,6,1,0,5,3,7,1,3.0,1,3.0,5.0,1,0,4.0,8.0,7.0,8.0,7.0,0,3,3,2.0,2,12.0,12.0,1,2,0,1,2,0,2,1,2,2,0,2,0,2,0,0,1,1,1,2,1,1,2,2,1,2,0
107,0,2,1,1,0,1,15,20,1,2,4,1,6,0,5,6,3,1,3.0,0,3.0,5.0,1,0,3.0,8.0,8.0,8.0,8.0,0,3,3,2.0,3,11.0,13.0,1,2,0,1,2,0,2,1,2,2,0,2,0,2,0,0,1,1,1,2,1,1,2,2,1,2,0
119,1,2,0,0,0,0,16,27,0,2,1,6,3,4,0,5,7,1,2.0,1,3.0,4.0,2,0,3.0,8.0,8.0,7.0,7.0,0,3,3,2.0,1,11.0,11.0,1,2,0,1,2,0,2,1,2,2,0,2,0,2,0,0,1,1,1,2,1,1,2,2,1,2,0
122,0,0,0,1,2,0,37,10,1,0,4,1,2,3,6,5,7,8,4.0,1,2.0,5.0,1,0,3.0,8.0,9.0,9.0,9.0,8,2,4,3.0,3,11.0,12.0,1,2,0,1,2,0,2,1,2,2,0,2,0,2,0,0,1,1,1,2,1,1,2,2,1,2,0
128,0,2,1,3,2,0,40,27,0,4,2,0,5,6,1,7,3,1,3.0,1,5.0,5.0,1,0,4.0,8.0,9.0,8.0,7.0,0,3,3,2.0,4,14.0,14.0,1,1,0,1,1,0,0,1,2,2,1,2,0,2,0,0,1,1,1,2,1,1,2,2,1,2,0
